Total amount Withdrawn,No Of Withdrawals
742300.0,198.0
355700.0,93.0
134700.0,41.0
153200.0,52.0
282000.0,113.0
301800.0,157.0
474700.0,100.0
76100.0,25.0
283200.0,77.0
804300.0,212.0
566800.0,160.0
514500.0,94.0
111200.0,33.0
183900.0,61.0
758300.0,185.0
513000.0,145.0
437300.0,95.0
131200.0,38.0
220200.0,61.0
835800.0,203.0
525600.0,152.0
380600.0,92.0
76300.0,23.0
238800.0,55.0
579700.0,171.0
395500.0,124.0
362900.0,83.0
97400.0,27.0
290000.0,74.0
670000.0,170.0
533600.0,183.0
355400.0,96.0
94300.0,32.0
345600.0,92.0
567600.0,187.0
544000.0,214.0
300300.0,92.0
9200.0,6.0
164400.0,48.0
278000.0,111.0
395200.0,142.0
517800.0,110.0
99400.0,27.0
287700.0,60.0
725500.0,219.0
336000.0,138.0
259400.0,76.0
47600.0,27.0
250200.0,69.0
747100.0,205.0
288500.0,145.0
480300.0,93.0
52800.0,15.0
237200.0,55.0
798500.0,210.0
465300.0,154.0
370400.0,75.0
34000.0,16.0
304000.0,61.0
561300.0,161.0
365900.0,112.0
231700.0,56.0
37900.0,26.0
206500.0,52.0
592900.0,176.0
390200.0,137.0
448900.0,94.0
41300.0,17.0
215100.0,62.0
812800.0,205.0
320500.0,120.0
360300.0,98.0
88800.0,41.0
286200.0,58.0
333100.0,117.0
332700.0,108.0
493400.0,132.0
144200.0,32.0
263600.0,72.0
578100.0,190.0
410200.0,128.0
523300.0,117.0
108600.0,30.0
298000.0,80.0
832200.0,202.0
538800.0,191.0
627600.0,136.0
110200.0,32.0
399600.0,100.0
849400.0,200.0
475100.0,152.0
629200.0,127.0
131800.0,39.0
514200.0,96.0
962300.0,225.0
456500.0,159.0
541600.0,113.0
101600.0,34.0
737400.0,143.0
999400.0,225.0
826000.0,246.0
534800.0,114.0
112700.0,28.0
382500.0,78.0
919100.0,221.0
615700.0,185.0
433000.0,108.0
167100.0,41.0
423900.0,88.0
718600.0,203.0
738900.0,203.0
412900.0,70.0
101000.0,20.0
295600.0,71.0
690500.0,179.0
608500.0,178.0
634000.0,125.0
52900.0,18.0
237600.0,64.0
992200.0,212.0
524100.0,160.0
682500.0,120.0
209300.0,34.0
554100.0,127.0
875500.0,203.0
759200.0,234.0
615600.0,150.0
93400.0,33.0
504521.0,158.0
442800.0,96.0
754000.0,186.0
575500.0,129.0
276400.0,57.0
417700.0,87.0
783700.0,178.0
571600.0,178.0
576100.0,141.0
232000.0,67.0
328700.0,65.0
509300.0,109.0
397100.0,157.0
704300.0,114.0
68900.0,23.0
265500.0,67.0
808500.0,193.0
642400.0,194.0
362500.0,67.0
178800.0,44.0
463400.0,93.0
705200.0,158.0
436800.0,125.0
557100.0,115.0
253700.0,74.0
294800.0,71.0
560800.0,136.0
532400.0,174.0
178400.0,56.0
208500.0,56.0
268700.0,67.0
399900.0,141.0
362400.0,152.0
311800.0,79.0
105600.0,30.0
157000.0,39.0
727800.0,199.0
288700.0,92.0
531500.0,110.0
90000.0,29.0
468500.0,96.0
428100.0,149.0
508300.0,131.0
456400.0,89.0
68100.0,25.0
297900.0,79.0
468000.0,126.0
515400.0,135.0
268000.0,73.0
103000.0,38.0
174500.0,69.0
481400.0,120.0
538600.0,196.0
482600.0,96.0
154000.0,32.0
469100.0,96.0
315100.0,81.0
430500.0,122.0
217700.0,64.0
92100.0,27.0
273000.0,81.0
447600.0,100.0
673500.0,197.0
343500.0,82.0
171400.0,40.0
305700.0,80.0
638600.0,166.0
530100.0,157.0
246700.0,53.0
120700.0,34.0
165900.0,62.0
742500.0,164.0
361600.0,121.0
262900.0,74.0
73900.0,24.0
173300.0,51.0
536400.0,143.0
397800.0,161.0
212600.0,54.0
112300.0,35.0
402500.0,75.0
568100.0,156.0
552300.0,160.0
325700.0,76.0
79900.0,36.0
153700.0,52.0
277200.0,114.0
278300.0,126.0
55600.0,26.0
71600.0,27.0
246600.0,44.0
462800.0,154.0
251700.0,100.0
290300.0,78.0
62100.0,17.0
335800.0,72.0
536900.0,144.0
336900.0,127.0
359800.0,91.0
80100.0,30.0
370400.0,73.0
766000.0,184.0
402200.0,129.0
392100.0,95.0
77600.0,32.0
270500.0,61.0
512900.0,157.0
354000.0,107.0
348700.0,86.0
86700.0,20.0
270700.0,77.0
740200.0,183.0
382500.0,145.0
614900.0,125.0
22400.0,14.0
274900.0,65.0
1128700.0,235.0
813600.0,200.0
530000.0,100.0
98000.0,30.0
387300.0,95.0
959200.0,255.0
754400.0,211.0
520200.0,110.0
144000.0,23.0
429800.0,100.0
767500.0,203.0
1007100.0,249.0
585800.0,118.0
116000.0,39.0
582300.0,117.0
751600.0,254.0
1005600.0,254.0
406000.0,93.0
202300.0,39.0
423500.0,99.0
1013600.0,239.0
734200.0,189.0
563300.0,106.0
111200.0,32.0
336000.0,82.0
1053100.0,225.0
730500.0,203.0
436900.0,116.0
82200.0,29.0
392000.0,90.0
455500.0,132.0
168500.0,60.0
460300.0,96.0
114000.0,32.0
296100.0,59.0
1075600.0,210.0
649000.0,186.0
451000.0,94.0
190700.0,57.0
328300.0,76.0
726200.0,175.0
602700.0,209.0
644200.0,134.0
203100.0,36.0
542500.0,106.0
845700.0,193.0
828100.0,206.0
380000.0,93.0
151600.0,39.0
604750.0,182.0
123600.0,36.0
654400.0,171.0
507300.0,98.0
117700.0,41.0
484500.0,122.0
965700.0,232.0
903100.0,216.0
420500.0,100.0
211700.0,46.0
707370.0,181.0
429600.0,93.0
598500.0,160.0
382100.0,87.0
53300.0,22.0
141900.0,42.0
507200.0,155.0
608700.0,170.0
362200.0,95.0
65000.0,15.0
302700.0,79.0
632800.0,156.0
682300.0,180.0
306700.0,82.0
57300.0,18.0
174300.0,51.0
369300.0,104.0
393900.0,120.0
357500.0,95.0
77900.0,31.0
174000.0,57.0
922700.0,198.0
374900.0,138.0
331200.0,90.0
66700.0,23.0
267500.0,68.0
617000.0,174.0
549400.0,200.0
534300.0,115.0
131400.0,28.0
150200.0,46.0
788600.0,190.0
546100.0,202.0
462900.0,99.0
162700.0,39.0
224400.0,53.0
681300.0,170.0
659900.0,244.0
492000.0,102.0
194700.0,29.0
376600.0,88.0
854200.0,197.0
505600.0,182.0
467700.0,105.0
98300.0,36.0
160000.0,59.0
679800.0,178.0
588700.0,190.0
303300.0,86.0
86900.0,35.0
221000.0,65.0
401200.0,119.0
347400.0,127.0
402400.0,96.0
107000.0,33.0
604750.0,182.0
201200.0,57.0
668500.0,176.0
381900.0,83.0
120800.0,34.0
274600.0,70.0
606400.0,148.0
528200.0,241.0
272300.0,91.0
250400.0,55.0
309200.0,74.0
619800.0,162.0
547900.0,166.0
520300.0,125.0
267400.0,65.0
604750.0,182.0
532800.0,113.0
766500.0,216.0
282700.0,98.0
161200.0,39.0
444700.0,105.0
681300.0,211.0
737800.0,246.0
406400.0,115.0
147900.0,29.0
300400.0,64.0
503100.0,139.0
521600.0,167.0
361800.0,101.0
68700.0,32.0
170000.0,37.0
313400.0,93.0
385100.0,117.0
483400.0,119.0
136800.0,33.0
355100.0,71.0
534200.0,166.0
532000.0,141.0
500800.0,128.0
133800.0,34.0
346600.0,68.0
805700.0,192.0
441800.0,132.0
434500.0,96.0
85900.0,29.0
430500.0,116.0
820700.0,211.0
834200.0,213.0
478900.0,128.0
110400.0,32.0
292300.0,92.0
387400.0,159.0
499900.0,175.0
428600.0,107.0
110200.0,42.0
333400.0,76.0
637800.0,172.0
668600.0,213.0
696000.0,128.0
115400.0,33.0
388700.0,106.0
1007100.0,245.0
638500.0,194.0
663000.0,113.0
117300.0,22.0
408100.0,106.0
951900.0,214.0
653900.0,175.0
516500.0,111.0
127700.0,33.0
264200.0,71.0
648300.0,172.0
405800.0,129.0
569400.0,107.0
96600.0,34.0
723200.0,146.0
873600.0,201.0
907400.0,217.0
716600.0,154.0
343200.0,85.0
564500.0,130.0
771800.0,204.0
843200.0,249.0
631000.0,140.0
109000.0,27.0
476200.0,116.0
960200.0,202.0
742700.0,229.0
411600.0,95.0
130483.0,35.0
578828.0,183.0
356100.0,74.0
1195700.0,272.0
360800.0,100.0
121000.0,30.0
326100.0,83.0
500600.0,116.0
528900.0,194.0
392500.0,92.0
190200.0,52.0
420800.0,95.0
570300.0,167.0
798100.0,207.0
368500.0,88.0
174800.0,42.0
406000.0,130.0
683900.0,180.0
589700.0,165.0
288700.0,86.0
72700.0,20.0
657200.0,144.0
781200.0,186.0
592600.0,170.0
457100.0,110.0
89100.0,23.0
378600.0,96.0
657800.0,162.0
550600.0,167.0
440300.0,102.0
144500.0,34.0
289900.0,60.0
843500.0,181.0
499700.0,199.0
304100.0,85.0
88200.0,23.0
259300.0,55.0
463500.0,137.0
486400.0,128.0
413800.0,108.0
118500.0,43.0
248600.0,81.0
612900.0,165.0
656800.0,240.0
273900.0,89.0
138500.0,45.0
292100.0,81.0
254000.0,93.0
474400.0,235.0
566400.0,115.0
148700.0,34.0
370200.0,79.0
646000.0,154.0
674500.0,206.0
316900.0,87.0
172000.0,51.0
401100.0,80.0
510600.0,140.0
303200.0,129.0
446400.0,101.0
104800.0,28.0
351200.0,74.0
706600.0,179.0
454400.0,153.0
331700.0,89.0
132500.0,36.0
199500.0,57.0
485400.0,139.0
392300.0,150.0
487500.0,92.0
197100.0,44.0
285800.0,84.0
320000.0,90.0
574000.0,189.0
466300.0,123.0
124100.0,23.0
299700.0,73.0
619900.0,201.0
486600.0,142.0
387500.0,103.0
54900.0,35.0
87300.0,33.0
143600.0,68.0
529000.0,191.0
376700.0,103.0
76500.0,20.0
339400.0,84.0
758100.0,204.0
642300.0,184.0
286900.0,88.0
189100.0,35.0
266300.0,73.0
658300.0,154.0
402000.0,169.0
573900.0,116.0
130000.0,33.0
247200.0,74.0
594700.0,156.0
473000.0,143.0
570300.0,119.0
101100.0,28.0
332100.0,69.0
713100.0,178.0
483300.0,162.0
334800.0,85.0
76500.0,23.0
345800.0,85.0
833500.0,205.0
575300.0,172.0
440400.0,110.0
80300.0,28.0
430000.0,110.0
849600.0,223.0
622800.0,176.0
409800.0,104.0
111300.0,28.0
231800.0,74.0
667100.0,229.0
644900.0,194.0
637400.0,125.0
109800.0,23.0
388600.0,86.0
1028000.0,217.0
688000.0,183.0
641300.0,116.0
138600.0,28.0
282700.0,59.0
1039600.0,203.0
709400.0,167.0
496900.0,129.0
106000.0,27.0
381700.0,86.0
887500.0,200.0
739700.0,179.0
595300.0,129.0
126800.0,33.0
479300.0,111.0
762400.0,161.0
435200.0,154.0
525800.0,140.0
227400.0,70.0
543957.0,183.0
310900.0,71.0
297100.0,97.0
730000.0,150.0
111500.0,38.0
359700.0,72.0
883900.0,216.0
795000.0,221.0
485400.0,107.0
36500.0,14.0
360000.0,86.0
588400.0,157.0
392400.0,113.0
416000.0,98.0
39500.0,12.0
161400.0,56.0
581800.0,161.0
399200.0,148.0
464200.0,119.0
127600.0,39.0
493300.0,107.0
817700.0,184.0
670300.0,179.0
612900.0,147.0
105700.0,28.0
219500.0,60.0
735300.0,175.0
684500.0,239.0
564500.0,120.0
48600.0,14.0
253000.0,68.0
736500.0,182.0
392400.0,147.0
397200.0,100.0
97500.0,19.0
228700.0,54.0
474700.0,147.0
442300.0,142.0
434600.0,96.0
122300.0,27.0
305900.0,64.0
667600.0,172.0
450000.0,150.0
424200.0,99.0
53400.0,20.0
305200.0,78.0
290100.0,87.0
308200.0,109.0
417500.0,100.0
100600.0,15.0
222500.0,59.0
777400.0,182.0
436900.0,142.0
358500.0,86.0
52500.0,20.0
219300.0,55.0
493000.0,157.0
390900.0,129.0
516200.0,110.0
158400.0,38.0
225400.0,58.0
589400.0,168.0
474300.0,177.0
461900.0,122.0
93800.0,38.0
395600.0,96.0
628300.0,186.0
570300.0,234.0
491800.0,111.0
121900.0,39.0
331400.0,71.0
584300.0,156.0
775300.0,258.0
365100.0,106.0
105300.0,33.0
333400.0,92.0
903900.0,231.0
555100.0,244.0
423200.0,127.0
146000.0,47.0
213000.0,73.0
422800.0,155.0
610200.0,293.0
437600.0,135.0
94900.0,34.0
238600.0,61.0
700400.0,174.0
725900.0,264.0
269000.0,85.0
135100.0,36.0
116500.0,30.0
604900.0,157.0
323600.0,126.0
401300.0,96.0
87400.0,24.0
173200.0,62.0
638800.0,153.0
522800.0,164.0
369100.0,94.0
109200.0,32.0
221500.0,66.0
518600.0,152.0
311900.0,109.0
272400.0,78.0
130300.0,40.0
341200.0,80.0
336900.0,98.0
472800.0,173.0
663800.0,126.0
163600.0,42.0
424900.0,109.0
1040300.0,219.0
610700.0,281.0
347300.0,85.0
163300.0,68.0
228300.0,58.0
366300.0,93.0
588400.0,230.0
518900.0,126.0
128600.0,37.0
366500.0,86.0
782100.0,217.0
792700.0,212.0
609200.0,121.0
175300.0,42.0
343000.0,93.0
798000.0,209.0
620200.0,198.0
670700.0,160.0
134400.0,45.0
323000.0,91.0
813100.0,220.0
950400.0,218.0
209400.0,49.0
122500.0,28.0
373000.0,95.0
914800.0,202.0
774300.0,193.0
332600.0,87.0
101000.0,31.0
130900.0,35.0
392500.0,125.0
526600.0,127.0
519100.0,115.0
109100.0,32.0
399400.0,92.0
884200.0,202.0
868800.0,222.0
408600.0,108.0
113800.0,31.0
460500.0,104.0
538000.0,141.0
735000.0,191.0
605500.0,137.0
337600.0,67.0
258100.0,73.0
729200.0,180.0
827700.0,255.0
683800.0,142.0
133900.0,38.0
345200.0,79.0
674100.0,173.0
640100.0,180.0
615700.0,118.0
210500.0,44.0
582300.0,110.0
952300.0,204.0
729600.0,236.0
468800.0,110.0
112300.0,28.0
442500.0,97.0
795200.0,182.0
585200.0,174.0
583200.0,119.0
106000.0,38.0
356500.0,78.0
747900.0,164.0
576600.0,163.0
515200.0,112.0
73900.0,26.0
273400.0,66.0
628300.0,173.0
711900.0,211.0
324400.0,94.0
98300.0,34.0
217700.0,55.0
430300.0,119.0
485200.0,179.0
124100.0,49.0
29000.0,4.0
95200.0,28.0
425500.0,95.0
372200.0,141.0
409000.0,105.0
30800.0,14.0
294700.0,79.0
676700.0,205.0
749100.0,242.0
520400.0,105.0
85600.0,24.0
251600.0,55.0
956700.0,214.0
648400.0,170.0
413000.0,92.0
103500.0,25.0
255600.0,60.0
608300.0,170.0
527300.0,191.0
340600.0,87.0
48200.0,22.0
215600.0,59.0
660000.0,151.0
582300.0,184.0
238500.0,55.0
101300.0,36.0
319300.0,70.0
723500.0,188.0
751400.0,236.0
379300.0,99.0
129100.0,35.0
220700.0,60.0
310800.0,98.0
316300.0,143.0
316700.0,106.0
87500.0,31.0
389400.0,75.0
853000.0,201.0
409000.0,171.0
376500.0,89.0
135100.0,42.0
194600.0,70.0
654000.0,159.0
443000.0,162.0
332900.0,70.0
97600.0,32.0
204500.0,61.0
826400.0,202.0
442000.0,152.0
374900.0,83.0
125400.0,29.0
233300.0,75.0
834700.0,173.0
511900.0,142.0
464600.0,113.0
108500.0,34.0
286400.0,74.0
625600.0,153.0
551700.0,181.0
628900.0,111.0
63500.0,31.0
341000.0,103.0
607600.0,177.0
729300.0,249.0
292800.0,90.0
66500.0,14.0
259600.0,79.0
223500.0,78.0
547300.0,198.0
317900.0,73.0
103100.0,38.0
444000.0,127.0
777100.0,200.0
444400.0,159.0
550100.0,110.0
144800.0,42.0
436400.0,132.0
793600.0,216.0
507600.0,167.0
384800.0,79.0
132100.0,36.0
561000.0,125.0
689700.0,193.0
465400.0,164.0
337100.0,106.0
89000.0,36.0
497603.0,165.0
363800.0,100.0
438000.0,149.0
507800.0,108.0
94600.0,32.0
381600.0,81.0
1003900.0,225.0
649100.0,176.0
641900.0,127.0
173100.0,32.0
662976.0,167.0
450700.0,109.0
620900.0,197.0
550300.0,120.0
155600.0,42.0
483600.0,91.0
759100.0,232.0
602200.0,184.0
403800.0,92.0
65600.0,29.0
258200.0,57.0
591300.0,155.0
495800.0,157.0
430100.0,116.0
171700.0,35.0
182700.0,51.0
781200.0,194.0
686000.0,231.0
700300.0,146.0
98200.0,25.0
312100.0,63.0
855200.0,209.0
738500.0,207.0
604700.0,119.0
269700.0,71.0
215300.0,69.0
668500.0,172.0
644800.0,184.0
484900.0,116.0
105700.0,23.0
369400.0,112.0
415000.0,106.0
370600.0,125.0
496400.0,107.0
181300.0,45.0
191800.0,54.0
558100.0,152.0
486400.0,166.0
545000.0,133.0
141300.0,32.0
412700.0,101.0
863500.0,193.0
645100.0,199.0
469600.0,109.0
168200.0,50.0
414700.0,98.0
816600.0,172.0
589900.0,168.0
449000.0,113.0
202600.0,44.0
247800.0,63.0
631100.0,156.0
429100.0,140.0
437400.0,83.0
118900.0,31.0
296200.0,65.0
549900.0,150.0
299900.0,147.0
374800.0,94.0
115100.0,27.0
326900.0,82.0
750100.0,165.0
536400.0,160.0
354800.0,99.0
195400.0,43.0
370100.0,74.0
799800.0,190.0
400100.0,172.0
624100.0,120.0
121000.0,41.0
257500.0,75.0
652000.0,199.0
335800.0,118.0
278400.0,98.0
113500.0,36.0
196500.0,51.0
287200.0,100.0
296300.0,117.0
493600.0,113.0
133200.0,35.0
214300.0,53.0
551500.0,160.0
616200.0,210.0
378400.0,87.0
117300.0,33.0
293200.0,70.0
442600.0,125.0
399000.0,162.0
344200.0,95.0
85600.0,25.0
282200.0,84.0
564600.0,169.0
577900.0,167.0
286400.0,83.0
51900.0,23.0
257700.0,66.0
615300.0,140.0
357300.0,147.0
304300.0,92.0
106000.0,34.0
323300.0,74.0
598900.0,154.0
334100.0,153.0
491800.0,121.0
69500.0,28.0
304900.0,84.0
660700.0,158.0
612200.0,180.0
475100.0,97.0
145800.0,40.0
168800.0,45.0
327900.0,102.0
384300.0,145.0
433600.0,107.0
32000.0,18.0
186600.0,58.0
739600.0,185.0
384100.0,149.0
333100.0,86.0
160400.0,44.0
174500.0,52.0
824900.0,185.0
513500.0,160.0
417900.0,88.0
149300.0,42.0
233600.0,72.0
843700.0,184.0
460200.0,154.0
401100.0,105.0
69500.0,28.0
438400.0,96.0
994200.0,206.0
494400.0,151.0
338600.0,79.0
177700.0,35.0
275100.0,65.0
641900.0,166.0
470400.0,161.0
424200.0,99.0
89800.0,29.0
545400.0,116.0
949700.0,224.0
702200.0,219.0
456800.0,107.0
78100.0,31.0
348300.0,91.0
767000.0,198.0
508500.0,175.0
372600.0,113.0
127600.0,25.0
385100.0,93.0
759900.0,205.0
529900.0,132.0
350200.0,66.0
112700.0,42.0
217800.0,58.0
370100.0,143.0
442300.0,169.0
364400.0,88.0
204200.0,45.0
260700.0,52.0
560100.0,152.0
660600.0,174.0
460200.0,106.0
121500.0,39.0
421000.0,98.0
636800.0,182.0
615800.0,199.0
462100.0,103.0
163500.0,33.0
224700.0,53.0
407500.0,125.0
349100.0,119.0
578500.0,120.0
206400.0,37.0
430700.0,92.0
694200.0,160.0
570900.0,164.0
663300.0,142.0
67600.0,32.0
393600.0,87.0
864500.0,179.0
444300.0,133.0
751900.0,117.0
205000.0,41.0
697083.0,175.0
590500.0,131.0
662200.0,212.0
413500.0,94.0
121900.0,37.0
319000.0,81.0
619400.0,156.0
508400.0,165.0
648300.0,116.0
154900.0,39.0
384600.0,100.0
769200.0,170.0
528900.0,170.0
602900.0,131.0
155600.0,36.0
297200.0,75.0
810900.0,195.0
459100.0,147.0
395500.0,70.0
183700.0,44.0
234600.0,55.0
712700.0,171.0
603100.0,201.0
632400.0,112.0
173600.0,52.0
436600.0,98.0
645900.0,182.0
591200.0,219.0
399500.0,102.0
143500.0,41.0
206600.0,59.0
556400.0,154.0
527900.0,248.0
252100.0,54.0
102000.0,24.0
130300.0,41.0
561500.0,162.0
466600.0,214.0
496300.0,88.0
136200.0,35.0
473900.0,112.0
802000.0,184.0
595100.0,228.0
366100.0,99.0
179200.0,49.0
298800.0,90.0
822800.0,173.0
621400.0,232.0
381500.0,93.0
59400.0,16.0
681500.0,132.0
819800.0,198.0
764600.0,261.0
401000.0,97.0
109000.0,36.0
526621.0,181.0
433800.0,104.0
912700.0,227.0
489100.0,132.0
90900.0,29.0
526621.0,181.0
781500.0,204.0
1006100.0,215.0
327700.0,94.0
150300.0,34.0
380700.0,99.0
653600.0,195.0
628500.0,293.0
412700.0,116.0
166500.0,37.0
490400.0,134.0
1021300.0,244.0
665800.0,207.0
292900.0,98.0
208900.0,53.0
424600.0,100.0
926800.0,270.0
476100.0,172.0
151000.0,43.0
67000.0,24.0
59900.0,24.0
226300.0,94.0
201600.0,93.0
514300.0,95.0
55100.0,16.0
216400.0,55.0
577400.0,136.0
457800.0,143.0
403100.0,88.0
108800.0,28.0
189000.0,54.0
590600.0,132.0
513700.0,163.0
280900.0,66.0
86100.0,33.0
237900.0,56.0
788000.0,152.0
436300.0,129.0
339100.0,85.0
87700.0,37.0
105500.0,42.0
278600.0,82.0
271500.0,120.0
506700.0,100.0
88300.0,23.0
263900.0,58.0
800700.0,185.0
468600.0,153.0
390700.0,101.0
111900.0,42.0
343700.0,92.0
837900.0,228.0
506000.0,232.0
406100.0,80.0
107400.0,31.0
413300.0,78.0
615500.0,177.0
462500.0,168.0
299400.0,75.0
110200.0,27.0
312900.0,77.0
514400.0,180.0
441100.0,146.0
442100.0,116.0
141300.0,41.0
283400.0,78.0
893300.0,266.0
679100.0,227.0
489700.0,103.0
114900.0,31.0
287700.0,63.0
837300.0,209.0
789100.0,200.0
479000.0,119.0
56700.0,14.0
341500.0,91.0
